id,solver,result,len_proof,time,benchmark_id,polymul
a952dd0a-1b51-4785-a54b-2f6df15e448e,vampireZ3,solved,16,0.047,cubes_inv1.smt2,0
faa2d2ec-dbe2-4f7b-b3d8-830e430d4397,vampireZ3,solved,23,2.082,cubes_inv2.smt2,0
2c79f88f-5f59-4f45-8788-1b801adf6ebc,vampireZ3,solved,24,2.065,cubes_inv3.smt2,0
14b3ea79-3033-4720-b163-4b8ec2c708ce,vampireZ3,solved,28,0.077,cubes_inv4.smt2,0
e94d3e5a-9e33-4804-810a-083efbd152a6,vampireZ3polymul,solved,18,0.063,cubes_inv1.smt2,1
6289107b-01a1-4ea7-afa6-d4e6d9abd710,vampireZ3polymul,solved,25,0.041,cubes_inv2.smt2,1
8a429a7a-badf-4ea1-ba4f-c6c539838751,vampireZ3polymul,solved,25,0.033,cubes_inv3.smt2,1
a677af99-baef-4d00-be00-1c3297cb23e1,vampireZ3polymul,solved,31,0.033,cubes_inv4.smt2,1
5fe4d3cb-5fd7-4048-ad76-03c5ed5878f0,z3,solved,121,0.03,cubes_inv1.smt2,-1
c4499459-f0c1-4f11-b41f-5dfe1f89d3af,z3,solved,178,0.03,cubes_inv2.smt2,-1
b9d21155-a59c-4b39-8994-1c92f7c2efab,z3,solved,260,1.56,cubes_inv3.smt2,-1
dbc1f2af-3d00-4b1c-a3d2-c01123e17c3c,z3,solved,124,0.02,cubes_inv4.smt2,-1
66b5c0d6-bd51-4619-9a82-d90f6208f5c4,vampireZ3,solved,10,0.032,eucliddiv_inv1.smt2,0
7c881d76-d522-42ff-82b1-9b9f1234fb50,vampireZ3,solved,38,0.052,eucliddiv_inv2.smt2,0
8e7de7b3-a6f8-4b21-8802-6b22d6312dbc,vampireZ3polymul,solved,11,0.033,eucliddiv_inv1.smt2,1
85f5ff30-3073-49c4-b47a-e914ade012d2,vampireZ3polymul,solved,20,0.032,eucliddiv_inv2.smt2,1
379e727e-2b2a-4938-83ea-b168e58ec2b5,z3,solved,46,0.02,eucliddiv_inv1.smt2,-1
8d2e4043-c278-4557-982f-e73034bca380,z3,solved,66,0.03,eucliddiv_inv2.smt2,-1
6f88df46-2b47-4cfb-9f4d-a263ba0acf25,vampireZ3,solved,24,0.06,freire1_inv1.smt2,0
32802e30-284b-4262-9ac3-c2e0967c3b33,vampireZ3polymul,unsolved,-1,300,freire1_inv1.smt2,-1
e16ff3de-bde9-4338-837a-b8f03b367519,z3,solved,90,0.02,freire1_inv1.smt2,-1
7f4b449c-c6ac-4459-9476-2f8f07059566,vampireZ3,solved,33,0.053,cohencu_inv2.smt2,0
b8f68521-62ed-4bdb-8110-0cdf7bd7738a,vampireZ3,solved,21,0.048,cohencu_inv1.smt2,0
3d3f8b79-995a-4dd0-97ad-636a3cbce5c4,vampireZ3,solved,61,0.061,cohencu_inv3.smt2,0
217a9c5b-a20d-47b7-ac9b-9e0cad9e7512,vampireZ3,solved,123,0.073,cohencu_inv4.smt2,0
10120208-8da5-4832-85cd-25e9bb849e6f,vampireZ3,solved,33,2.048,cohencu_inv5.smt2,0
99cb8939-afca-453a-bde7-c331d7e32b82,vampireZ3,solved,32,2.049,cohencu_inv6.smt2,0
0eeb8245-13cd-4726-a95b-23296dbdb134,vampireZ3polymul,unsolved,-1,300,cohencu_inv2.smt2,-1
a38ae0ff-8176-42ea-b5e2-d12d94e263d5,vampireZ3polymul,solved,16,0.032,cohencu_inv1.smt2,1
658f3bb3-2167-473f-9e19-1a212d72a079,vampireZ3polymul,solved,51,0.036,cohencu_inv3.smt2,1
d2c771a4-59c8-432a-be0d-9e7146967801,vampireZ3polymul,unsolved,-1,300,cohencu_inv4.smt2,-1
